---------------------------------------------------------------------------------------------------------------------
Benchmark                                                           Time             CPU   Iterations UserCounters...
Deque/BulkCopy/FixedSlice/50/100000/manual_time                 11000 ns        11025 ns         1275 selected_ratio=500u
Deque/BulkCopy/FixedSlice/100/100/manual_time                    97.6 ns          122 ns       142452 selected_ratio=1
Deque/BulkCopy/FixedSlice/100/500/manual_time                     153 ns          178 ns        91309 selected_ratio=0.2
Deque/BulkCopy/FixedSlice/100/1000/manual_time                    218 ns          242 ns        63877 selected_ratio=0.1
Deque/BulkCopy/FixedSlice/100/10000/manual_time                  1190 ns         1214 ns        11314 selected_ratio=0.01
Deque/BulkCopy/FixedSlice/100/100000/manual_time                11100 ns        11122 ns         1275 selected_ratio=1m
Deque/BulkCopy/FixedSlice/500/500/manual_time                     458 ns          483 ns        30816 selected_ratio=1
Deque/BulkCopy/FixedSlice/500/1000/manual_time                    539 ns          562 ns        25046 selected_ratio=0.5
Deque/BulkCopy/FixedSlice/500/10000/manual_time                  1585 ns         1608 ns         9118 selected_ratio=0.05
Deque/BulkCopy/FixedSlice/500/100000/manual_time                11582 ns        11616 ns         1202 selected_ratio=5m
Deque/BulkCopy/FixedSlice/1000/1000/manual_time                   865 ns          891 ns        16174 selected_ratio=1
Deque/BulkCopy/FixedSlice/1000/10000/manual_time                 2175 ns         2208 ns         5982 selected_ratio=0.1
Deque/BulkCopy/FixedSlice/1000/100000/manual_time               12250 ns        12285 ns         1132 selected_ratio=0.01
VecDeque/BulkCopy/FixedSlice/10/10/manual_time                   20.3 ns         46.3 ns       680822 selected_ratio=1
VecDeque/BulkCopy/FixedSlice/10/50/manual_time                   24.2 ns         49.6 ns       581078 selected_ratio=0.2
VecDeque/BulkCopy/FixedSlice/10/100/manual_time                  27.6 ns         53.0 ns       501857 selected_ratio=0.1
VecDeque/BulkCopy/FixedSlice/10/500/manual_time                  74.5 ns        100.0 ns       184618 selected_ratio=0.02
VecDeque/BulkCopy/FixedSlice/10/1000/manual_time                  132 ns          158 ns       106026 selected_ratio=0.01
VecDeque/BulkCopy/FixedSlice/10/10000/manual_time                1069 ns         1094 ns        13093 selected_ratio=1m
VecDeque/BulkCopy/FixedSlice/10/100000/manual_time              10733 ns        10760 ns         1319 selected_ratio=100u
VecDeque/BulkCopy/FixedSlice/50/50/manual_time                   54.2 ns         79.5 ns       258050 selected_ratio=1
VecDeque/BulkCopy/FixedSlice/50/100/manual_time                  61.9 ns         87.2 ns       226815 selected_ratio=0.5
VecDeque/BulkCopy/FixedSlice/50/500/manual_time                   108 ns          133 ns       128486 selected_ratio=0.1
VecDeque/BulkCopy/FixedSlice/50/1000/manual_time                  166 ns          191 ns        84103 selected_ratio=0.05
VecDeque/BulkCopy/FixedSlice/50/10000/manual_time                1099 ns         1124 ns        12733 selected_ratio=5m
VecDeque/BulkCopy/FixedSlice/50/100000/manual_time              10633 ns        10658 ns         1331 selected_ratio=500u
VecDeque/BulkCopy/FixedSlice/100/100/manual_time                 92.6 ns          118 ns       150703 selected_ratio=1
VecDeque/BulkCopy/FixedSlice/100/500/manual_time                  152 ns          178 ns        92082 selected_ratio=0.2
VecDeque/BulkCopy/FixedSlice/100/1000/manual_time                 207 ns          233 ns        67592 selected_ratio=0.1
VecDeque/BulkCopy/FixedSlice/100/10000/manual_time               1146 ns         1171 ns        12239 selected_ratio=0.01
